Q3,Q5,Q17,Q36
Other,,,"It depends, please specify:"
A parent/ carer of primary school children,,"No, my child(ren) is/are eligible for free school meals",Yes
A parent/ carer of primary school children,,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",Yes
A parent/ carer of primary school children,,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",Yes
A parent/ carer of primary school children,,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",
A parent/ carer of primary school children,St Leonard's CoE Primary School,"Other, please specify below:",Yes
Teacher/ teaching assistant at a primary school,,,Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,Yes,Yes
A caterer at a primary school,,,
A parent/ carer of primary school children,,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",Yes
A caterer at a primary school,,,
A parent/ carer of primary school children,St Leonard's CoE Primary School,Yes,Yes
A caterer at a primary school,,,Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,Yes,Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,Yes,No
,,,
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",Yes
,,,
,,,
A parent/ carer of primary school children,St Leonard's CoE Primary School,Yes,No
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,Yes,Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)","It depends, please specify:"
A parent/ carer of primary school children,St Leonard's CoE Primary School,Yes,Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,Yes,"It depends, please specify:"
A parent/ carer of primary school children,St Leonard's CoE Primary School,Yes,Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,"Other, please specify below:",Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,Yes,Yes
Teacher/ teaching assistant at a primary school,,,
A parent/ carer of primary school children,St Leonard's CoE Primary School,Yes,
A parent/ carer of primary school children,St Leonard's CoE Primary School,Yes,"It depends, please specify:"
A parent/ carer of primary school children,Other (please specify name and city or post code of your child's school,"Other, please specify below:","It depends, please specify:"
Teacher/ teaching assistant at a primary school,,,Yes
Teacher/ teaching assistant at a primary school,,,No
A parent/ carer of primary school children,St Leonard's CoE Primary School,Yes,Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",Yes
Teacher/ teaching assistant at a primary school,,,No
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",Yes
Teacher/ teaching assistant at a primary school,,,Yes
Teacher/ teaching assistant at a primary school,,,Yes
Teacher/ teaching assistant at a primary school,,,"It depends, please specify:"
Senior leadership management team member at a primary school,,,No
Teacher/ teaching assistant at a primary school,,,Yes
Teacher/ teaching assistant at a primary school,,,"It depends, please specify:"
Teacher/ teaching assistant at a primary school,,,Yes
Teacher/ teaching assistant at a primary school,,,"It depends, please specify:"
Teacher/ teaching assistant at a primary school,,,Yes
Teacher/ teaching assistant at a primary school,,,No
Teacher/ teaching assistant at a primary school,,,Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,Yes,Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,Yes,No
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,Yes,Yes
A parent/ carer of primary school children,Other (please specify name and city or post code of your child's school,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are eligible for free school meals",Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",No
A parent/ carer of primary school children,St Leonard's CoE Primary School,Yes,Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)","It depends, please specify:"
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,Yes,Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",No
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,Yes,Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,"Other, please specify below:","It depends, please specify:"
A parent/ carer of primary school children,St Leonard's CoE Primary School,Yes,Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",Yes
Teacher/ teaching assistant at a primary school,,,Yes
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are eligible for free school meals","It depends, please specify:"
A parent/ carer of primary school children,St Leonard's CoE Primary School,"No, my child(ren) is/are in KS1 ( reception, year 1 or year 2)",Yes
